基金代码,基金名称,指数代码,指数名称,上市日期,基金类型
159203.SZ,博时国证大盘成长ETF,399372.SZ,国证大盘成长指数,2025-06-30,宽基
159295.SZ,西部利得创业板综合ETF,399102.SZ,创业板综合指数,2025-11-04,宽基
159329.SZ,南方基金南方东英沙特阿拉伯ETF(QDII),FISAULM.OTH,富时沙特阿拉伯指数,2024-07-16,QDII
159350.SZ,富国深证50ETF,399850.SZ,深证50指数,2023-12-11,宽基
159391.SZ,博时国证大盘价值ETF,399373.SZ,国证大盘价值指数,2025-04-21,宽基
159502.SZ,嘉实标普生物科技精选行业ETF(QDII),SPSIBI.OTH,标普生物科技精选行业指数,2024-01-10,QDII
159509.SZ,景顺长城纳斯达克科技ETF(QDII),NDXTMC.NASDAQ,纳斯达克科技市值加权指数,2023-08-08,QDII
159510.SZ,华夏中证智选300价值稳健策略ETF,931586.CSI,中证智选300价值稳健策略指数,2023-08-16,宽基
159512.SZ,广发中证全指汽车ETF,931008.CSI,中证全指汽车指数,2023-07-25,行业
159520.SZ,消费龙头ETF,931068.CSI,中证消费龙头指数,2023-10-31,行业
159523.SZ,华夏中证智选300成长创新策略ETF,931589.CSI,中证智选300成长创新策略指数,2023-09-19,宽基
159565.SZ,易方达中证汽车零部件主题ETF,931230.CSI,中证汽车零部件主题指数,2024-02-26,行业
159572.SZ,易方达创业板中盘200ETF,399019.SZ,创业板中盘200指数,2023-12-25,宽基
159595.SZ,大成中证A50ETF,930050.CSI,中证A50指数,2024-03-18,宽基
159605.SZ,广发中证海外中国互联网30(QDII-ETF),930604.CSI,中证海外中国互联网30指数,2021-12-02,行业
159606.SZ,易方达中证500质量成长ETF,930939.CSI,中证500质量成长指数,2021-12-29,行业
159611.SZ,广发中证全指电力ETF,H30199.CSI,中证全指电力公用事业指数,2022-01-07,行业
159617.SZ,华夏中证智选500价值稳健策略ETF,931587.CSI,中证智选500价值稳健策略指数,2022-06-30,宽基
159620.SZ,华夏中证智选500成长创新策略ETF,931590.CSI,中证智选500成长创新策略指数,2022-08-05,宽基
159622.SZ,创新药ETF沪港深,931409.CSI,中证沪港深创新药产业指数,2023-05-09,行业
159625.SZ,嘉实国证绿色电力ETF,399438.SZ,国证绿色电力指数,2022-04-29,行业
159628.SZ,万家国证2000ETF,399303.SZ,国证2000指数,2022-07-18,宽基
159638.SZ,嘉实中证高端装备细分50ETF,931521.CSI,中证高端装备细分50指数,2022-08-12,行业
159649.SZ,华安中债1-5年国开行债券ETF,CBA08303.OTH,中债-1-5年国开行债券指数(全价),2022-10-24,债券
159650.SZ,博时中债0-3年国开行ETF,CBA11901.OTH,中债-0-3年国开行债券指数,2022-10-28,债券
159662.SZ,南方国证交通运输行业ETF,399433.SZ,国证交通运输行业指数,2022-12-01,行业
159667.SZ,国泰中证机床ETF,931866.CSI,中证机床指数,2022-10-26,行业
159687.SZ,南方基金南方东英富时亚太低碳精选ETF(QDII),GPCSP006.OTH,富时亚太低碳精选指数,2022-12-30,QDII
159691.SZ,港股红利ETF,930839.CSI,中证港股通高股息精选指数,2023-04-21,QDII
159697.SZ,油气ETF,399439.SZ,国证石油天然气指数,2023-05-04,行业
159698.SZ,粮食ETF,399365.SZ,国证粮食产业指数,2023-08-18,行业
159709.SZ,物联网ETF工银,399285.SZ,深证物联网50指数,2021-07-02,行业
159732.SZ,华夏国证消费电子主题ETF,980030.SZ,国证消费电子主题指数,2021-08-23,行业
159736.SZ,天弘中证食品饮料ETF,930653.CSI,中证食品饮料指数,2021-09-27,行业
159745.SZ,国泰中证全指建筑材料ETF,931009.CSI,中证全指建筑材料指数,2021-06-18,行业
159752.SZ,申万菱信中证内地新能源主题ETF,000941.CSI,中证内地新能源主题指数,2021-07-28,行业
159755.SZ,广发国证新能源车电池ETF,980032.SZ,国证新能源车电池指数,2021-06-24,行业
159761.SZ,国泰中证新材料主题ETF,H30597.CSI,中证新材料主题指数,2021-12-13,行业
159766.SZ,富国中证旅游主题ETF,930633.CSI,中证旅游主题指数,2021-07-23,行业
159781.SZ,易方达中证科创创业50ETF,931643.CSI,中证科创创业50指数,2021-07-05,宽基
159786.SZ,VRETF,930821.CSI,中证虚拟现实主题指数,2021-08-06,行业
159790.SZ,华夏中证内地低碳经济主题ETF,000977.CSI,中证内地低碳经济主题指数,2021-08-06,行业
159793.SZ,平安中证沪港深线上消费主题ETF,931481.CSI,中证沪港深线上消费主题指数,2021-11-24,行业
159796.SZ,汇添富中证电池主题ETF,931719.CSI,中证电池主题指数,2022-03-14,行业
159804.SZ,国寿安保创精选88ETF,399291.SZ,国证创业板中盘精选88指数,2020-03-31,行业
159807.SZ,易方达中证科技50ETF,931380.CSI,中证科技50指数,2020-03-30,行业
159811.SZ,博时5G50ETF,931406.CSI,中证5G产业50指数,2020-04-22,行业
159814.SZ,西部利得创业板大盘ETF,399293.SZ,创业板大盘指数,2020-07-17,行业
159819.SZ,易方达中证人工智能主题ETF,930713.CSI,中证人工智能主题指数,2020-09-23,行业
159825.SZ,富国中证农业主题ETF,000949.CSI,中证农业主题指数,2020-12-29,行业
159837.SZ,易方达中证生物科技主题ETF,930743.CSI,中证生物科技主题指数,2021-01-27,行业
159843.SZ,招商国证食品饮料ETF,399396.SZ,国证食品饮料行业指数,2021-02-05,行业
159851.SZ,华宝中证金融科技主题ETF,930986.CSI,中证金融科技主题指数,2021-03-19,行业
159852.SZ,嘉实中证软件服务ETF,930601.CSI,中证软件服务指数,2021-02-09,行业
159859.SZ,天弘国证生物医药ETF,399441.SZ,国证生物医药指数,2021-07-07,行业
159861.SZ,国泰中证环保产业50ETF,930614.CSI,中证环保产业50指数,2021-04-02,行业
159865.SZ,国泰中证畜牧养殖ETF,930707.CSI,中证畜牧养殖指数,2021-03-08,行业
159869.SZ,华夏中证动漫游戏ETF,930901.CSI,中证动漫游戏指数,2021-03-05,行业
159870.SZ,化工ETF,000813.CSI,中证细分化工产业主题指数,2021-03-03,行业
159871.SZ,有色金属,930708.CSI,中证有色金属指数,2021-03-31,行业
159880.SZ,有色50,399395.SZ,国证有色金属行业指数,2021-03-25,行业
159883.SZ,医疗器械ETF,H30217.CSI,中证全指医疗器械指数,2021-04-30,行业
159886.SZ,富国中证细分机械设备产业主题ETF,000812.CSI,中证细分机械设备产业主题指数,2021-04-28,行业
159887.SZ,富国中证800银行ETF,H30022.CSI,中证800银行指数,2021-05-20,行业
159891.SZ,建信中证全指医疗保健设备与服务ETF,H30178.CSI,中证全指医疗保健设备与服务指数,2021-06-15,行业
159896.SZ,南方中证物联网主题ETF,930712.CSI,中证物联网主题指数,2021-11-24,行业
159901.SZ,易方达深证100ETF,399330.SZ,深证100指数,2006-04-24,宽基
159902.SZ,华夏中小企业100ETF,399005.SZ,中小企业100指数,2006-09-05,宽基
159903.SZ,南方深证成份ETF,399001.SZ,深证成份指数,2010-02-02,宽基
159905.SZ,深红利ETF,399324.SZ,深证红利指数,2011-01-11,行业
159906.SZ,大成深证成长40ETF,399326.SZ,深证成长40指数,2011-02-23,宽基
159913.SZ,交银深证300价值ETF,399348.SZ,深证300价值指数,2011-10-25,宽基
159915.SZ,易方达创业板ETF,399006.SZ,创业板指数,2011-12-09,宽基
159916.SZ,建信深证基本面60ETF,399701.SZ,深证基本面60指数,2011-10-24,行业
159920.SZ,华夏恒生ETF,HSI.HI,恒生指数,2012-10-22,QDII
159928.SZ,汇添富中证主要消费ETF,000932.SH,中证主要消费指数,2013-09-16,行业
159929.SZ,汇添富中证医药卫生ETF,000933.SH,中证医药卫生指数,2013-09-16,行业
159930.SZ,汇添富中证能源ETF,000928.SH,中证能源指数,2013-09-16,行业
159938.SZ,广发中证全指医药卫生ETF,000991.SH,中证全指医药卫生指数,2015-01-08,行业
159939.SZ,广发中证全指信息技术ETF,000993.SH,中证全指信息技术指数,2015-02-05,行业
159940.SZ,广发中证全指金融地产ETF,000992.SH,中证全指金融地产指数,2015-04-17,行业
159949.SZ,华安创业板50ETF,399673.SZ,创业板50指数,2016-07-22,宽基
159965.SZ,国联央视50ETF,399550.SZ,央视财经50指数,2019-04-24,行业
159966.SZ,华夏创业板低波价值ETF,399295.SZ,创业板低波价值指数,2019-07-15,宽基
159967.SZ,华夏创成长ETF,399296.SZ,创业板动量成长指数,2019-07-15,宽基
159972.SZ,5年地债,930865.CSI,中证5年期地方政府债指数,2019-11-08,债券
159980.SZ,大成有色金属期货ETF,IMCI.SHF,上海期货交易所有色金属期货价格指数,2019-12-24,商品
159981.SZ,建信能源化工期货ETF,000201.ESCI.CZCE,易盛郑商所能源化工指数A,2020-01-17,商品
159985.SZ,华夏饲料豆粕期货ETF,000014.DCE,大商所豆粕期货价格指数,2019-12-05,商品
159992.SZ,创新药,931152.CSI,中证创新药产业指数,2020-04-10,行业
159993.SZ,龙头券商,399437.SZ,国证证券龙头指数,2020-02-07,行业
159995.SZ,华夏国证半导体芯片ETF,980017.SZ,国证半导体芯片指数,2020-02-10,行业
159996.SZ,国泰中证全指家用电器ETF,930697.CSI,中证全指家用电器指数,2020-03-16,行业
159997.SZ,天弘中证电子ETF,930652.CSI,中证电子指数,2020-03-20,行业
159998.SZ,天弘中证计算机主题ETF,930651.CSI,中证计算机主题指数,2020-04-13,行业
160216.SZ,国泰商品LOF,,国泰大宗商品配置指数(全收益指数),2015-04-07,商品
160416.SZ,石油基金LOF,,标普全球石油净总收益指数收益率(S&P Global Oil Index Net Total Return),2012-05-02,商品
161128.SZ,标普信息科技LOF,,标普500信息科技指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2016-12-27,QDII
